"Estimates of Household Income by County and Region, statistical"
"indicator and Year"

" "," ","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"State"
" ","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution) (Euro Million)",41702,46530,49762,54128,58752,65284,71797,78540,80727,73628,68793,69711,69406,70659,73085,76719
" ","Income of Self Employed (Euro Million)",9358,10121,9286,10187,11242,12821,13421,14349,13101,10682,10267,9673,9239,9329,9780,10057
" ","Rent of dwellings (including imputed rent of owner-occupied dwellings) (Euro Million)",3589,4370,4978,4731,4100,3506,3344,5550,8218,5490,6593,6799,7249,7322,7830,8625
" ","Net Interest and Dividends (payments by households of interest are deducted from interest received by households) (Euro Million)",2607,2816,2523,3144,3534,3195,2530,1095,60,1514,1287,502,3316,3204,3105,3971
" ","Primary Income (Euro Million)",57256,63837,66549,72189,77627,84805,91092,99535,102106,91314,86940,86685,89211,90513,93800,99371
" ","Social Benefits and Other Current Transfers (Euro Million)",8633,10254,12770,13625,15092,16855,18790,20643,23839,25409,25687,25424,26055,25234,24806,24507
" ","Total Household Income (Euro Million)",66145,75368,81825,88238,95435,103580,110437,119923,127216,119410,113139,112526,115889,114415,117030,123757
" ","Total Income per Person (Euro)",17455,19590,20889,22171,23592,25057,26090,27406,28364,26340,24840,24596,25273,24910,25388,26698
" ","Index of Total Income per Person (State=100)",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
" ","Current Taxes on Income (Euro Million)",14964,15865,16604,18323,20773,22787,25704,27805,26211,25005,24057,26110,26797,27613,28228,29500
" ","Disposable Household Income (Euro Million)",51181,59504,65220,69915,74662,80793,84733,92118,101004,94405,89082,86416,89092,86801,88802,94257
" ","Disposable Income per Person (Euro)",13506,15467,16650,17567,18457,19544,20018,21052,22520,20824,19558,18889,19429,18898,19265,20334
" ","Index of Disposable Income per Person (State=100)",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
" ","Disposable Income per Person (excluding Rent) (Euro)",12509,14268,15321,16308,17348,18578,19059,19783,20688,19613,18110,17403,17848,17304,17566,18473
" ","Index of Disposable Income per Person (excluding Rent) (State=100)",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"West"
" ","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution) (Euro Million)",3193,3550,3827,4395,4881,5366,5880,6339,6635,6166,5885,5693,5760,5729,5847,6005
" ","Income of Self Employed (Euro Million)",984,1013,1017,1075,1200,1416,1364,1400,1330,1128,1014,923,907,846,886,946
" ","Rent of dwellings (including imputed rent of owner-occupied dwellings) (Euro Million)",310,375,424,405,352,302,288,485,720,482,579,579,634,642,686,757
" ","Net Interest and Dividends (payments by households of interest are deducted from interest received by households) (Euro Million)",214,228,208,268,307,277,216,92,5,131,112,42,282,265,254,321
" ","Primary Income (Euro Million)",4702,5166,5476,6142,6740,7361,7748,8315,8690,7906,7590,7237,7583,7482,7673,8028
" ","Social Benefits and Other Current Transfers (Euro Million)",869,1026,1275,1349,1486,1679,1856,2051,2371,2536,2555,2511,2541,2464,2425,2385
" ","Total Household Income (Euro Million)",5592,6295,6958,7698,8462,9206,9651,10345,11169,10675,10190,9783,10178,9836,9969,10404
" ","Total Income per Person (Euro)",15422,17080,18297,19850,21413,22842,23499,24527,25901,24468,23250,22032,22867,22061,22281,23123
" ","Index of Total Income per Person (State=100)",88.4,87.2,87.6,89.5,90.8,91.2,90.1,89.5,91.3,92.9,93.6,89.6,90.5,88.6,87.8,86.6
" ","Current Taxes on Income (Euro Million)",1079,1124,1173,1393,1651,1812,1961,2107,2003,1970,1910,1984,2061,2114,2165,2226
" ","Disposable Household Income (Euro Million)",4513,5171,5785,6305,6811,7395,7690,8238,9166,8706,8280,7800,8117,7721,7805,8177
" ","Disposable Income per Person (Euro)",12445,14031,15212,16258,17235,18347,18724,19533,21256,19953,18891,17565,18236,17319,17443,18174
" ","Index of Disposable Income per Person (State=100)",92.1,90.7,91.4,92.5,93.4,93.9,93.5,92.8,94.4,95.8,96.6,93.0,93.9,91.6,90.5,89.4
" ","Disposable Income per Person (excluding Rent) (Euro)",11543,12954,14094,15205,16316,17553,17928,18384,19585,18848,17571,16259,16810,15881,15911,16493
" ","Index of Disposable Income per Person (excluding Rent) (State=100)",92.3,90.8,92.0,93.2,94.1,94.5,94.1,92.9,94.7,96.1,97.0,93.4,94.2,91.8,90.6,89.3
"Border"
" ","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution) (Euro Million)",3637,4014,4381,4829,5374,5859,6421,7065,7239,6670,6218,6144,5863,5975,6131,6509
" ","Income of Self Employed (Euro Million)",1017,1072,988,1062,1158,1360,1289,1365,1220,1009,947,871,898,856,905,937
" ","Rent of dwellings (including imputed rent of owner-occupied dwellings) (Euro Million)",283,342,388,371,324,278,267,455,685,462,556,551,611,620,663,731
" ","Net Interest and Dividends (payments by households of interest are deducted from interest received by households) (Euro Million)",236,251,227,285,327,294,229,99,5,137,116,44,285,273,264,340
" ","Primary Income (Euro Million)",5173,5680,5984,6547,7183,7791,8206,8984,9149,8278,7838,7610,7656,7724,7962,8518
" ","Social Benefits and Other Current Transfers (Euro Million)",1041,1225,1510,1613,1779,1990,2226,2472,2878,3084,3115,3093,3162,3060,2999,2965
" ","Total Household Income (Euro Million)",6237,7018,7720,8380,9212,9958,10482,11432,12141,11606,10998,10739,10872,10670,10827,11473
" ","Total Income per Person (Euro)",14833,16514,17848,19019,20520,21732,22330,23614,24376,22878,21482,20919,21127,20701,20930,22055
" ","Index of Total Income per Person (State=100)",85.0,84.3,85.4,85.8,87.0,86.7,85.6,86.2,85.9,86.9,86.5,85.0,83.6,83.1,82.4,82.6
