count,county,crime,division,year
761.0,Donegal,"Attempts/threats to murder, assaults, harassments and related offences",Donegal Garda Division,2003
666.0,Donegal,"Attempts/threats to murder, assaults, harassments and related offences",Donegal Garda Division,2004
769.0,Donegal,"Attempts/threats to murder, assaults, harassments and related offences",Donegal Garda Division,2005
839.0,Donegal,"Attempts/threats to murder, assaults, harassments and related offences",Donegal Garda Division,2006
990.0,Donegal,"Attempts/threats to murder, assaults, harassments and related offences",Donegal Garda Division,2007
1091.0,Donegal,"Attempts/threats to murder, assaults, harassments and related offences",Donegal Garda Division,2008
927.0,Donegal,"Attempts/threats to murder, assaults, harassments and related offences",Donegal Garda Division,2009
818.0,Donegal,"Attempts/threats to murder, assaults, harassments and related offences",Donegal Garda Division,2010
862.0,Donegal,"Attempts/threats to murder, assaults, harassments and related offences",Donegal Garda Division,2011
738.0,Donegal,"Attempts/threats to murder, assaults, harassments and related offences",Donegal Garda Division,2012
692.0,Donegal,"Attempts/threats to murder, assaults, harassments and related offences",Donegal Garda Division,2013
745.0,Donegal,"Attempts/threats to murder, assaults, harassments and related offences",Donegal Garda Division,2014
726.0,Donegal,"Attempts/threats to murder, assaults, harassments and related offences",Donegal Garda Division,2015
701.0,Donegal,"Attempts/threats to murder, assaults, harassments and related offences",Donegal Garda Division,2016
776.0,Donegal,"Attempts/threats to murder, assaults, harassments and related offences",Donegal Garda Division,2017
695.0,Donegal,"Attempts/threats to murder, assaults, harassments and related offences",Donegal Garda Division,2018
1242.0,Donegal,"Attempts/threats to murder, assaults, harassments and related offences",Donegal Garda Division,2019
489.0,Louth,"Attempts/threats to murder, assaults, harassments and related offences",Louth  Garda Division,2003
350.0,Louth,"Attempts/threats to murder, assaults, harassments and related offences",Louth  Garda Division,2004
346.0,Louth,"Attempts/threats to murder, assaults, harassments and related offences",Louth  Garda Division,2005
423.0,Louth,"Attempts/threats to murder, assaults, harassments and related offences",Louth  Garda Division,2006
498.0,Louth,"Attempts/threats to murder, assaults, harassments and related offences",Louth  Garda Division,2007
664.0,Louth,"Attempts/threats to murder, assaults, harassments and related offences",Louth  Garda Division,2008
584.0,Louth,"Attempts/threats to murder, assaults, harassments and related offences",Louth  Garda Division,2009
549.0,Louth,"Attempts/threats to murder, assaults, harassments and related offences",Louth  Garda Division,2010
489.0,Louth,"Attempts/threats to murder, assaults, harassments and related offences",Louth  Garda Division,2011
514.0,Louth,"Attempts/threats to murder, assaults, harassments and related offences",Louth  Garda Division,2012
450.0,Louth,"Attempts/threats to murder, assaults, harassments and related offences",Louth  Garda Division,2013
521.0,Louth,"Attempts/threats to murder, assaults, harassments and related offences",Louth  Garda Division,2014
520.0,Louth,"Attempts/threats to murder, assaults, harassments and related offences",Louth  Garda Division,2015
522.0,Louth,"Attempts/threats to murder, assaults, harassments and related offences",Louth  Garda Division,2016
674.0,Louth,"Attempts/threats to murder, assaults, harassments and related offences",Louth  Garda Division,2017
683.0,Louth,"Attempts/threats to murder, assaults, harassments and related offences",Louth  Garda Division,2018
1228.0,Louth,"Attempts/threats to murder, assaults, harassments and related offences",Louth  Garda Division,2019
375.0,Clare,"Attempts/threats to murder, assaults, harassments and related offences",Clare Garda Division,2003
284.0,Clare,"Attempts/threats to murder, assaults, harassments and related offences",Clare Garda Division,2004
303.0,Clare,"Attempts/threats to murder, assaults, harassments and related offences",Clare Garda Division,2005
319.0,Clare,"Attempts/threats to murder, assaults, harassments and related offences",Clare Garda Division,2006
375.0,Clare,"Attempts/threats to murder, assaults, harassments and related offences",Clare Garda Division,2007
508.0,Clare,"Attempts/threats to murder, assaults, harassments and related offences",Clare Garda Division,2008
478.0,Clare,"Attempts/threats to murder, assaults, harassments and related offences",Clare Garda Division,2009
456.0,Clare,"Attempts/threats to murder, assaults, harassments and related offences",Clare Garda Division,2010
361.0,Clare,"Attempts/threats to murder, assaults, harassments and related offences",Clare Garda Division,2011
301.0,Clare,"Attempts/threats to murder, assaults, harassments and related offences",Clare Garda Division,2012
286.0,Clare,"Attempts/threats to murder, assaults, harassments and related offences",Clare Garda Division,2013
304.0,Clare,"Attempts/threats to murder, assaults, harassments and related offences",Clare Garda Division,2014
373.0,Clare,"Attempts/threats to murder, assaults, harassments and related offences",Clare Garda Division,2015
387.0,Clare,"Attempts/threats to murder, assaults, harassments and related offences",Clare Garda Division,2016
380.0,Clare,"Attempts/threats to murder, assaults, harassments and related offences",Clare Garda Division,2017
377.0,Clare,"Attempts/threats to murder, assaults, harassments and related offences",Clare Garda Division,2018
648.0,Clare,"Attempts/threats to murder, assaults, harassments and related offences",Clare Garda Division,2019
395.0,Mayo,"Attempts/threats to murder, assaults, harassments and related offences",Mayo Garda Division,2003
410.0,Mayo,"Attempts/threats to murder, assaults, harassments and related offences",Mayo Garda Division,2004
429.0,Mayo,"Attempts/threats to murder, assaults, harassments and related offences",Mayo Garda Division,2005
505.0,Mayo,"Attempts/threats to murder, assaults, harassments and related offences",Mayo Garda Division,2006
548.0,Mayo,"Attempts/threats to murder, assaults, harassments and related offences",Mayo Garda Division,2007
603.0,Mayo,"Attempts/threats to murder, assaults, harassments and related offences",Mayo Garda Division,2008
561.0,Mayo,"Attempts/threats to murder, assaults, harassments and related offences",Mayo Garda Division,2009
454.0,Mayo,"Attempts/threats to murder, assaults, harassments and related offences",Mayo Garda Division,2010
439.0,Mayo,"Attempts/threats to murder, assaults, harassments and related offences",Mayo Garda Division,2011
431.0,Mayo,"Attempts/threats to murder, assaults, harassments and related offences",Mayo Garda Division,2012
396.0,Mayo,"Attempts/threats to murder, assaults, harassments and related offences",Mayo Garda Division,2013
379.0,Mayo,"Attempts/threats to murder, assaults, harassments and related offences",Mayo Garda Division,2014
374.0,Mayo,"Attempts/threats to murder, assaults, harassments and related offences",Mayo Garda Division,2015
350.0,Mayo,"Attempts/threats to murder, assaults, harassments and related offences",Mayo Garda Division,2016
413.0,Mayo,"Attempts/threats to murder, assaults, harassments and related offences",Mayo Garda Division,2017
415.0,Mayo,"Attempts/threats to murder, assaults, harassments and related offences",Mayo Garda Division,2018
733.0,Mayo,"Attempts/threats to murder, assaults, harassments and related offences",Mayo Garda Division,2019
619.0,Galway,"Attempts/threats to murder, assaults, harassments and related offences",Galway Garda Division,2003
653.0,Galway,"Attempts/threats to murder, assaults, harassments and related offences",Galway Garda Division,2004
741.0,Galway,"Attempts/threats to murder, assaults, harassments and related offences",Galway Garda Division,2005
821.0,Galway,"Attempts/threats to murder, assaults, harassments and related offences",Galway Garda Division,2006
910.0,Galway,"Attempts/threats to murder, assaults, harassments and related offences",Galway Garda Division,2007
1042.0,Galway,"Attempts/threats to murder, assaults, harassments and related offences",Galway Garda Division,2008
895.0,Galway,"Attempts/threats to murder, assaults, harassments and related offences",Galway Garda Division,2009
817.0,Galway,"Attempts/threats to murder, assaults, harassments and related offences",Galway Garda Division,2010
877.0,Galway,"Attempts/threats to murder, assaults, harassments and related offences",Galway Garda Division,2011
788.0,Galway,"Attempts/threats to murder, assaults, harassments and related offences",Galway Garda Division,2012
673.0,Galway,"Attempts/threats to murder, assaults, harassments and related offences",Galway Garda Division,2013
739.0,Galway,"Attempts/threats to murder, assaults, harassments and related offences",Galway Garda Division,2014
787.0,Galway,"Attempts/threats to murder, assaults, harassments and related offences",Galway Garda Division,2015
712.0,Galway,"Attempts/threats to murder, assaults, harassments and related offences",Galway Garda Division,2016
856.0,Galway,"Attempts/threats to murder, assaults, harassments and related offences",Galway Garda Division,2017
