count,county,crime,division,year
2.0,Donegal,Dangerous driving causing serious bodily harm,Donegal Garda Division,2003
1.0,Donegal,Dangerous driving causing serious bodily harm,Donegal Garda Division,2004
3.0,Donegal,Dangerous driving causing serious bodily harm,Donegal Garda Division,2005
1.0,Donegal,Dangerous driving causing serious bodily harm,Donegal Garda Division,2006
1.0,Donegal,Dangerous driving causing serious bodily harm,Donegal Garda Division,2007
3.0,Donegal,Dangerous driving causing serious bodily harm,Donegal Garda Division,2008
2.0,Donegal,Dangerous driving causing serious bodily harm,Donegal Garda Division,2009
2.0,Donegal,Dangerous driving causing serious bodily harm,Donegal Garda Division,2010
0.0,Donegal,Dangerous driving causing serious bodily harm,Donegal Garda Division,2011
0.0,Donegal,Dangerous driving causing serious bodily harm,Donegal Garda Division,2012
1.0,Donegal,Dangerous driving causing serious bodily harm,Donegal Garda Division,2013
1.0,Donegal,Dangerous driving causing serious bodily harm,Donegal Garda Division,2014
1.0,Donegal,Dangerous driving causing serious bodily harm,Donegal Garda Division,2015
0.0,Donegal,Dangerous driving causing serious bodily harm,Donegal Garda Division,2016
1.0,Donegal,Dangerous driving causing serious bodily harm,Donegal Garda Division,2017
0.0,Donegal,Dangerous driving causing serious bodily harm,Donegal Garda Division,2018
1.0,Donegal,Dangerous driving causing serious bodily harm,Donegal Garda Division,2019
1.0,Louth,Dangerous driving causing serious bodily harm,Louth  Garda Division,2003
1.0,Louth,Dangerous driving causing serious bodily harm,Louth  Garda Division,2004
0.0,Louth,Dangerous driving causing serious bodily harm,Louth  Garda Division,2005
1.0,Louth,Dangerous driving causing serious bodily harm,Louth  Garda Division,2006
0.0,Louth,Dangerous driving causing serious bodily harm,Louth  Garda Division,2007
0.0,Louth,Dangerous driving causing serious bodily harm,Louth  Garda Division,2008
2.0,Louth,Dangerous driving causing serious bodily harm,Louth  Garda Division,2009
0.0,Louth,Dangerous driving causing serious bodily harm,Louth  Garda Division,2010
0.0,Louth,Dangerous driving causing serious bodily harm,Louth  Garda Division,2011
1.0,Louth,Dangerous driving causing serious bodily harm,Louth  Garda Division,2012
2.0,Louth,Dangerous driving causing serious bodily harm,Louth  Garda Division,2013
0.0,Louth,Dangerous driving causing serious bodily harm,Louth  Garda Division,2014
0.0,Louth,Dangerous driving causing serious bodily harm,Louth  Garda Division,2015
1.0,Louth,Dangerous driving causing serious bodily harm,Louth  Garda Division,2016
0.0,Louth,Dangerous driving causing serious bodily harm,Louth  Garda Division,2017
1.0,Louth,Dangerous driving causing serious bodily harm,Louth  Garda Division,2018
1.0,Louth,Dangerous driving causing serious bodily harm,Louth  Garda Division,2019
1.0,Clare,Dangerous driving causing serious bodily harm,Clare Garda Division,2003
0.0,Clare,Dangerous driving causing serious bodily harm,Clare Garda Division,2004
0.0,Clare,Dangerous driving causing serious bodily harm,Clare Garda Division,2005
0.0,Clare,Dangerous driving causing serious bodily harm,Clare Garda Division,2006
0.0,Clare,Dangerous driving causing serious bodily harm,Clare Garda Division,2007
3.0,Clare,Dangerous driving causing serious bodily harm,Clare Garda Division,2008
1.0,Clare,Dangerous driving causing serious bodily harm,Clare Garda Division,2009
1.0,Clare,Dangerous driving causing serious bodily harm,Clare Garda Division,2010
1.0,Clare,Dangerous driving causing serious bodily harm,Clare Garda Division,2011
0.0,Clare,Dangerous driving causing serious bodily harm,Clare Garda Division,2012
0.0,Clare,Dangerous driving causing serious bodily harm,Clare Garda Division,2013
0.0,Clare,Dangerous driving causing serious bodily harm,Clare Garda Division,2014
1.0,Clare,Dangerous driving causing serious bodily harm,Clare Garda Division,2015
1.0,Clare,Dangerous driving causing serious bodily harm,Clare Garda Division,2016
0.0,Clare,Dangerous driving causing serious bodily harm,Clare Garda Division,2017
1.0,Clare,Dangerous driving causing serious bodily harm,Clare Garda Division,2018
1.0,Clare,Dangerous driving causing serious bodily harm,Clare Garda Division,2019
1.0,Mayo,Dangerous driving causing serious bodily harm,Mayo Garda Division,2003
1.0,Mayo,Dangerous driving causing serious bodily harm,Mayo Garda Division,2004
1.0,Mayo,Dangerous driving causing serious bodily harm,Mayo Garda Division,2005
3.0,Mayo,Dangerous driving causing serious bodily harm,Mayo Garda Division,2006
0.0,Mayo,Dangerous driving causing serious bodily harm,Mayo Garda Division,2007
0.0,Mayo,Dangerous driving causing serious bodily harm,Mayo Garda Division,2008
0.0,Mayo,Dangerous driving causing serious bodily harm,Mayo Garda Division,2009
2.0,Mayo,Dangerous driving causing serious bodily harm,Mayo Garda Division,2010
2.0,Mayo,Dangerous driving causing serious bodily harm,Mayo Garda Division,2011
0.0,Mayo,Dangerous driving causing serious bodily harm,Mayo Garda Division,2012
1.0,Mayo,Dangerous driving causing serious bodily harm,Mayo Garda Division,2013
0.0,Mayo,Dangerous driving causing serious bodily harm,Mayo Garda Division,2014
0.0,Mayo,Dangerous driving causing serious bodily harm,Mayo Garda Division,2015
0.0,Mayo,Dangerous driving causing serious bodily harm,Mayo Garda Division,2016
0.0,Mayo,Dangerous driving causing serious bodily harm,Mayo Garda Division,2017
1.0,Mayo,Dangerous driving causing serious bodily harm,Mayo Garda Division,2018
2.0,Mayo,Dangerous driving causing serious bodily harm,Mayo Garda Division,2019
0.0,Galway,Dangerous driving causing serious bodily harm,Galway Garda Division,2003
0.0,Galway,Dangerous driving causing serious bodily harm,Galway Garda Division,2004
0.0,Galway,Dangerous driving causing serious bodily harm,Galway Garda Division,2005
1.0,Galway,Dangerous driving causing serious bodily harm,Galway Garda Division,2006
4.0,Galway,Dangerous driving causing serious bodily harm,Galway Garda Division,2007
0.0,Galway,Dangerous driving causing serious bodily harm,Galway Garda Division,2008
1.0,Galway,Dangerous driving causing serious bodily harm,Galway Garda Division,2009
0.0,Galway,Dangerous driving causing serious bodily harm,Galway Garda Division,2010
2.0,Galway,Dangerous driving causing serious bodily harm,Galway Garda Division,2011
2.0,Galway,Dangerous driving causing serious bodily harm,Galway Garda Division,2012
1.0,Galway,Dangerous driving causing serious bodily harm,Galway Garda Division,2013
1.0,Galway,Dangerous driving causing serious bodily harm,Galway Garda Division,2014
0.0,Galway,Dangerous driving causing serious bodily harm,Galway Garda Division,2015
0.0,Galway,Dangerous driving causing serious bodily harm,Galway Garda Division,2016
1.0,Galway,Dangerous driving causing serious bodily harm,Galway Garda Division,2017
