count,county,crime,division,year
309.0,Donegal,Controlled drug offences,Donegal Garda Division,2003
216.0,Donegal,Controlled drug offences,Donegal Garda Division,2004
226.0,Donegal,Controlled drug offences,Donegal Garda Division,2005
340.0,Donegal,Controlled drug offences,Donegal Garda Division,2006
393.0,Donegal,Controlled drug offences,Donegal Garda Division,2007
467.0,Donegal,Controlled drug offences,Donegal Garda Division,2008
480.0,Donegal,Controlled drug offences,Donegal Garda Division,2009
328.0,Donegal,Controlled drug offences,Donegal Garda Division,2010
408.0,Donegal,Controlled drug offences,Donegal Garda Division,2011
248.0,Donegal,Controlled drug offences,Donegal Garda Division,2012
211.0,Donegal,Controlled drug offences,Donegal Garda Division,2013
211.0,Donegal,Controlled drug offences,Donegal Garda Division,2014
215.0,Donegal,Controlled drug offences,Donegal Garda Division,2015
249.0,Donegal,Controlled drug offences,Donegal Garda Division,2016
291.0,Donegal,Controlled drug offences,Donegal Garda Division,2017
287.0,Donegal,Controlled drug offences,Donegal Garda Division,2018
592.0,Donegal,Controlled drug offences,Donegal Garda Division,2019
146.0,Louth,Controlled drug offences,Louth  Garda Division,2003
127.0,Louth,Controlled drug offences,Louth  Garda Division,2004
159.0,Louth,Controlled drug offences,Louth  Garda Division,2005
208.0,Louth,Controlled drug offences,Louth  Garda Division,2006
241.0,Louth,Controlled drug offences,Louth  Garda Division,2007
298.0,Louth,Controlled drug offences,Louth  Garda Division,2008
539.0,Louth,Controlled drug offences,Louth  Garda Division,2009
523.0,Louth,Controlled drug offences,Louth  Garda Division,2010
449.0,Louth,Controlled drug offences,Louth  Garda Division,2011
401.0,Louth,Controlled drug offences,Louth  Garda Division,2012
255.0,Louth,Controlled drug offences,Louth  Garda Division,2013
285.0,Louth,Controlled drug offences,Louth  Garda Division,2014
244.0,Louth,Controlled drug offences,Louth  Garda Division,2015
321.0,Louth,Controlled drug offences,Louth  Garda Division,2016
408.0,Louth,Controlled drug offences,Louth  Garda Division,2017
495.0,Louth,Controlled drug offences,Louth  Garda Division,2018
980.0,Louth,Controlled drug offences,Louth  Garda Division,2019
181.0,Clare,Controlled drug offences,Clare Garda Division,2003
209.0,Clare,Controlled drug offences,Clare Garda Division,2004
