count,county,crime,division,year
0.0,Donegal,Endangerment with potential for serious harm/death,Donegal Garda Division,2003
7.0,Donegal,Endangerment with potential for serious harm/death,Donegal Garda Division,2004
2.0,Donegal,Endangerment with potential for serious harm/death,Donegal Garda Division,2005
5.0,Donegal,Endangerment with potential for serious harm/death,Donegal Garda Division,2006
2.0,Donegal,Endangerment with potential for serious harm/death,Donegal Garda Division,2007
2.0,Donegal,Endangerment with potential for serious harm/death,Donegal Garda Division,2008
1.0,Donegal,Endangerment with potential for serious harm/death,Donegal Garda Division,2009
5.0,Donegal,Endangerment with potential for serious harm/death,Donegal Garda Division,2010
4.0,Donegal,Endangerment with potential for serious harm/death,Donegal Garda Division,2011
3.0,Donegal,Endangerment with potential for serious harm/death,Donegal Garda Division,2012
5.0,Donegal,Endangerment with potential for serious harm/death,Donegal Garda Division,2013
8.0,Donegal,Endangerment with potential for serious harm/death,Donegal Garda Division,2014
5.0,Donegal,Endangerment with potential for serious harm/death,Donegal Garda Division,2015
0.0,Donegal,Endangerment with potential for serious harm/death,Donegal Garda Division,2016
3.0,Donegal,Endangerment with potential for serious harm/death,Donegal Garda Division,2017
7.0,Donegal,Endangerment with potential for serious harm/death,Donegal Garda Division,2018
12.0,Donegal,Endangerment with potential for serious harm/death,Donegal Garda Division,2019
3.0,Louth,Endangerment with potential for serious harm/death,Louth  Garda Division,2003
2.0,Louth,Endangerment with potential for serious harm/death,Louth  Garda Division,2004
3.0,Louth,Endangerment with potential for serious harm/death,Louth  Garda Division,2005
3.0,Louth,Endangerment with potential for serious harm/death,Louth  Garda Division,2006
3.0,Louth,Endangerment with potential for serious harm/death,Louth  Garda Division,2007
2.0,Louth,Endangerment with potential for serious harm/death,Louth  Garda Division,2008
1.0,Louth,Endangerment with potential for serious harm/death,Louth  Garda Division,2009
1.0,Louth,Endangerment with potential for serious harm/death,Louth  Garda Division,2010
3.0,Louth,Endangerment with potential for serious harm/death,Louth  Garda Division,2011
2.0,Louth,Endangerment with potential for serious harm/death,Louth  Garda Division,2012
0.0,Louth,Endangerment with potential for serious harm/death,Louth  Garda Division,2013
4.0,Louth,Endangerment with potential for serious harm/death,Louth  Garda Division,2014
1.0,Louth,Endangerment with potential for serious harm/death,Louth  Garda Division,2015
5.0,Louth,Endangerment with potential for serious harm/death,Louth  Garda Division,2016
4.0,Louth,Endangerment with potential for serious harm/death,Louth  Garda Division,2017
17.0,Louth,Endangerment with potential for serious harm/death,Louth  Garda Division,2018
26.0,Louth,Endangerment with potential for serious harm/death,Louth  Garda Division,2019
0.0,Clare,Endangerment with potential for serious harm/death,Clare Garda Division,2003
0.0,Clare,Endangerment with potential for serious harm/death,Clare Garda Division,2004
