count,county,crime,division,year
2.0,Donegal,Kidnapping and related offences,Donegal Garda Division,2003
2.0,Donegal,Kidnapping and related offences,Donegal Garda Division,2004
1.0,Donegal,Kidnapping and related offences,Donegal Garda Division,2005
3.0,Donegal,Kidnapping and related offences,Donegal Garda Division,2006
12.0,Donegal,Kidnapping and related offences,Donegal Garda Division,2007
5.0,Donegal,Kidnapping and related offences,Donegal Garda Division,2008
4.0,Donegal,Kidnapping and related offences,Donegal Garda Division,2009
2.0,Donegal,Kidnapping and related offences,Donegal Garda Division,2010
2.0,Donegal,Kidnapping and related offences,Donegal Garda Division,2011
2.0,Donegal,Kidnapping and related offences,Donegal Garda Division,2012
8.0,Donegal,Kidnapping and related offences,Donegal Garda Division,2013
2.0,Donegal,Kidnapping and related offences,Donegal Garda Division,2014
3.0,Donegal,Kidnapping and related offences,Donegal Garda Division,2015
4.0,Donegal,Kidnapping and related offences,Donegal Garda Division,2016
2.0,Donegal,Kidnapping and related offences,Donegal Garda Division,2017
5.0,Donegal,Kidnapping and related offences,Donegal Garda Division,2018
9.0,Donegal,Kidnapping and related offences,Donegal Garda Division,2019
4.0,Louth,Kidnapping and related offences,Louth  Garda Division,2003
1.0,Louth,Kidnapping and related offences,Louth  Garda Division,2004
3.0,Louth,Kidnapping and related offences,Louth  Garda Division,2005
7.0,Louth,Kidnapping and related offences,Louth  Garda Division,2006
5.0,Louth,Kidnapping and related offences,Louth  Garda Division,2007
3.0,Louth,Kidnapping and related offences,Louth  Garda Division,2008
3.0,Louth,Kidnapping and related offences,Louth  Garda Division,2009
9.0,Louth,Kidnapping and related offences,Louth  Garda Division,2010
7.0,Louth,Kidnapping and related offences,Louth  Garda Division,2011
3.0,Louth,Kidnapping and related offences,Louth  Garda Division,2012
2.0,Louth,Kidnapping and related offences,Louth  Garda Division,2013
2.0,Louth,Kidnapping and related offences,Louth  Garda Division,2014
6.0,Louth,Kidnapping and related offences,Louth  Garda Division,2015
8.0,Louth,Kidnapping and related offences,Louth  Garda Division,2016
6.0,Louth,Kidnapping and related offences,Louth  Garda Division,2017
7.0,Louth,Kidnapping and related offences,Louth  Garda Division,2018
9.0,Louth,Kidnapping and related offences,Louth  Garda Division,2019
4.0,Clare,Kidnapping and related offences,Clare Garda Division,2003
1.0,Clare,Kidnapping and related offences,Clare Garda Division,2004
1.0,Clare,Kidnapping and related offences,Clare Garda Division,2005
3.0,Clare,Kidnapping and related offences,Clare Garda Division,2006
3.0,Clare,Kidnapping and related offences,Clare Garda Division,2007
1.0,Clare,Kidnapping and related offences,Clare Garda Division,2008
0.0,Clare,Kidnapping and related offences,Clare Garda Division,2009
2.0,Clare,Kidnapping and related offences,Clare Garda Division,2010
1.0,Clare,Kidnapping and related offences,Clare Garda Division,2011
2.0,Clare,Kidnapping and related offences,Clare Garda Division,2012
1.0,Clare,Kidnapping and related offences,Clare Garda Division,2013
2.0,Clare,Kidnapping and related offences,Clare Garda Division,2014
1.0,Clare,Kidnapping and related offences,Clare Garda Division,2015
1.0,Clare,Kidnapping and related offences,Clare Garda Division,2016
0.0,Clare,Kidnapping and related offences,Clare Garda Division,2017
4.0,Clare,Kidnapping and related offences,Clare Garda Division,2018
8.0,Clare,Kidnapping and related offences,Clare Garda Division,2019
0.0,Mayo,Kidnapping and related offences,Mayo Garda Division,2003
0.0,Mayo,Kidnapping and related offences,Mayo Garda Division,2004
0.0,Mayo,Kidnapping and related offences,Mayo Garda Division,2005
1.0,Mayo,Kidnapping and related offences,Mayo Garda Division,2006
4.0,Mayo,Kidnapping and related offences,Mayo Garda Division,2007
1.0,Mayo,Kidnapping and related offences,Mayo Garda Division,2008
5.0,Mayo,Kidnapping and related offences,Mayo Garda Division,2009
7.0,Mayo,Kidnapping and related offences,Mayo Garda Division,2010
2.0,Mayo,Kidnapping and related offences,Mayo Garda Division,2011
0.0,Mayo,Kidnapping and related offences,Mayo Garda Division,2012
0.0,Mayo,Kidnapping and related offences,Mayo Garda Division,2013
7.0,Mayo,Kidnapping and related offences,Mayo Garda Division,2014
8.0,Mayo,Kidnapping and related offences,Mayo Garda Division,2015
0.0,Mayo,Kidnapping and related offences,Mayo Garda Division,2016
0.0,Mayo,Kidnapping and related offences,Mayo Garda Division,2017
1.0,Mayo,Kidnapping and related offences,Mayo Garda Division,2018
2.0,Mayo,Kidnapping and related offences,Mayo Garda Division,2019
3.0,Galway,Kidnapping and related offences,Galway Garda Division,2003
3.0,Galway,Kidnapping and related offences,Galway Garda Division,2004
3.0,Galway,Kidnapping and related offences,Galway Garda Division,2005
2.0,Galway,Kidnapping and related offences,Galway Garda Division,2006
1.0,Galway,Kidnapping and related offences,Galway Garda Division,2007
3.0,Galway,Kidnapping and related offences,Galway Garda Division,2008
2.0,Galway,Kidnapping and related offences,Galway Garda Division,2009
