count,county,crime,division,year
0.0,Donegal,Fireworks offences,Donegal Garda Division,2003
0.0,Donegal,Fireworks offences,Donegal Garda Division,2004
1.0,Donegal,Fireworks offences,Donegal Garda Division,2005
6.0,Donegal,Fireworks offences,Donegal Garda Division,2006
30.0,Donegal,Fireworks offences,Donegal Garda Division,2007
29.0,Donegal,Fireworks offences,Donegal Garda Division,2008
26.0,Donegal,Fireworks offences,Donegal Garda Division,2009
41.0,Donegal,Fireworks offences,Donegal Garda Division,2010
14.0,Donegal,Fireworks offences,Donegal Garda Division,2011
9.0,Donegal,Fireworks offences,Donegal Garda Division,2012
14.0,Donegal,Fireworks offences,Donegal Garda Division,2013
3.0,Donegal,Fireworks offences,Donegal Garda Division,2014
4.0,Donegal,Fireworks offences,Donegal Garda Division,2015
7.0,Donegal,Fireworks offences,Donegal Garda Division,2016
8.0,Donegal,Fireworks offences,Donegal Garda Division,2017
15.0,Donegal,Fireworks offences,Donegal Garda Division,2018
28.0,Donegal,Fireworks offences,Donegal Garda Division,2019
0.0,Louth,Fireworks offences,Louth  Garda Division,2003
0.0,Louth,Fireworks offences,Louth  Garda Division,2004
0.0,Louth,Fireworks offences,Louth  Garda Division,2005
0.0,Louth,Fireworks offences,Louth  Garda Division,2006
7.0,Louth,Fireworks offences,Louth  Garda Division,2007
31.0,Louth,Fireworks offences,Louth  Garda Division,2008
8.0,Louth,Fireworks offences,Louth  Garda Division,2009
23.0,Louth,Fireworks offences,Louth  Garda Division,2010
16.0,Louth,Fireworks offences,Louth  Garda Division,2011
12.0,Louth,Fireworks offences,Louth  Garda Division,2012
4.0,Louth,Fireworks offences,Louth  Garda Division,2013
0.0,Louth,Fireworks offences,Louth  Garda Division,2014
2.0,Louth,Fireworks offences,Louth  Garda Division,2015
3.0,Louth,Fireworks offences,Louth  Garda Division,2016
15.0,Louth,Fireworks offences,Louth  Garda Division,2017
6.0,Louth,Fireworks offences,Louth  Garda Division,2018
10.0,Louth,Fireworks offences,Louth  Garda Division,2019
0.0,Clare,Fireworks offences,Clare Garda Division,2003
0.0,Clare,Fireworks offences,Clare Garda Division,2004
0.0,Clare,Fireworks offences,Clare Garda Division,2005
1.0,Clare,Fireworks offences,Clare Garda Division,2006
6.0,Clare,Fireworks offences,Clare Garda Division,2007
