count,county,crime,division,year
1200.0,Donegal,Damage to property and to the environment,Donegal Garda Division,2003
1163.0,Donegal,Damage to property and to the environment,Donegal Garda Division,2004
1281.0,Donegal,Damage to property and to the environment,Donegal Garda Division,2005
1287.0,Donegal,Damage to property and to the environment,Donegal Garda Division,2006
1378.0,Donegal,Damage to property and to the environment,Donegal Garda Division,2007
1499.0,Donegal,Damage to property and to the environment,Donegal Garda Division,2008
1131.0,Donegal,Damage to property and to the environment,Donegal Garda Division,2009
1005.0,Donegal,Damage to property and to the environment,Donegal Garda Division,2010
845.0,Donegal,Damage to property and to the environment,Donegal Garda Division,2011
746.0,Donegal,Damage to property and to the environment,Donegal Garda Division,2012
637.0,Donegal,Damage to property and to the environment,Donegal Garda Division,2013
673.0,Donegal,Damage to property and to the environment,Donegal Garda Division,2014
669.0,Donegal,Damage to property and to the environment,Donegal Garda Division,2015
626.0,Donegal,Damage to property and to the environment,Donegal Garda Division,2016
541.0,Donegal,Damage to property and to the environment,Donegal Garda Division,2017
529.0,Donegal,Damage to property and to the environment,Donegal Garda Division,2018
975.0,Donegal,Damage to property and to the environment,Donegal Garda Division,2019
1111.0,Louth,Damage to property and to the environment,Louth  Garda Division,2003
1167.0,Louth,Damage to property and to the environment,Louth  Garda Division,2004
1259.0,Louth,Damage to property and to the environment,Louth  Garda Division,2005
1440.0,Louth,Damage to property and to the environment,Louth  Garda Division,2006
1782.0,Louth,Damage to property and to the environment,Louth  Garda Division,2007
1871.0,Louth,Damage to property and to the environment,Louth  Garda Division,2008
1580.0,Louth,Damage to property and to the environment,Louth  Garda Division,2009
1372.0,Louth,Damage to property and to the environment,Louth  Garda Division,2010
1272.0,Louth,Damage to property and to the environment,Louth  Garda Division,2011
1219.0,Louth,Damage to property and to the environment,Louth  Garda Division,2012
1175.0,Louth,Damage to property and to the environment,Louth  Garda Division,2013
1046.0,Louth,Damage to property and to the environment,Louth  Garda Division,2014
1064.0,Louth,Damage to property and to the environment,Louth  Garda Division,2015
802.0,Louth,Damage to property and to the environment,Louth  Garda Division,2016
886.0,Louth,Damage to property and to the environment,Louth  Garda Division,2017
890.0,Louth,Damage to property and to the environment,Louth  Garda Division,2018
1556.0,Louth,Damage to property and to the environment,Louth  Garda Division,2019
699.0,Clare,Damage to property and to the environment,Clare Garda Division,2003
689.0,Clare,Damage to property and to the environment,Clare Garda Division,2004
752.0,Clare,Damage to property and to the environment,Clare Garda Division,2005
815.0,Clare,Damage to property and to the environment,Clare Garda Division,2006
785.0,Clare,Damage to property and to the environment,Clare Garda Division,2007
926.0,Clare,Damage to property and to the environment,Clare Garda Division,2008
773.0,Clare,Damage to property and to the environment,Clare Garda Division,2009
730.0,Clare,Damage to property and to the environment,Clare Garda Division,2010
565.0,Clare,Damage to property and to the environment,Clare Garda Division,2011
516.0,Clare,Damage to property and to the environment,Clare Garda Division,2012
485.0,Clare,Damage to property and to the environment,Clare Garda Division,2013
391.0,Clare,Damage to property and to the environment,Clare Garda Division,2014
438.0,Clare,Damage to property and to the environment,Clare Garda Division,2015
417.0,Clare,Damage to property and to the environment,Clare Garda Division,2016
447.0,Clare,Damage to property and to the environment,Clare Garda Division,2017
402.0,Clare,Damage to property and to the environment,Clare Garda Division,2018
680.0,Clare,Damage to property and to the environment,Clare Garda Division,2019
724.0,Mayo,Damage to property and to the environment,Mayo Garda Division,2003
645.0,Mayo,Damage to property and to the environment,Mayo Garda Division,2004
662.0,Mayo,Damage to property and to the environment,Mayo Garda Division,2005
866.0,Mayo,Damage to property and to the environment,Mayo Garda Division,2006
880.0,Mayo,Damage to property and to the environment,Mayo Garda Division,2007
821.0,Mayo,Damage to property and to the environment,Mayo Garda Division,2008
846.0,Mayo,Damage to property and to the environment,Mayo Garda Division,2009
725.0,Mayo,Damage to property and to the environment,Mayo Garda Division,2010
656.0,Mayo,Damage to property and to the environment,Mayo Garda Division,2011
593.0,Mayo,Damage to property and to the environment,Mayo Garda Division,2012
545.0,Mayo,Damage to property and to the environment,Mayo Garda Division,2013
462.0,Mayo,Damage to property and to the environment,Mayo Garda Division,2014
452.0,Mayo,Damage to property and to the environment,Mayo Garda Division,2015
346.0,Mayo,Damage to property and to the environment,Mayo Garda Division,2016
373.0,Mayo,Damage to property and to the environment,Mayo Garda Division,2017
408.0,Mayo,Damage to property and to the environment,Mayo Garda Division,2018
646.0,Mayo,Damage to property and to the environment,Mayo Garda Division,2019
1229.0,Galway,Damage to property and to the environment,Galway Garda Division,2003
1186.0,Galway,Damage to property and to the environment,Galway Garda Division,2004
