count,county,crime,division,year
91.0,Donegal,Sexual offences,Donegal Garda Division,2003
79.0,Donegal,Sexual offences,Donegal Garda Division,2004
62.0,Donegal,Sexual offences,Donegal Garda Division,2005
70.0,Donegal,Sexual offences,Donegal Garda Division,2006
75.0,Donegal,Sexual offences,Donegal Garda Division,2007
71.0,Donegal,Sexual offences,Donegal Garda Division,2008
50.0,Donegal,Sexual offences,Donegal Garda Division,2009
94.0,Donegal,Sexual offences,Donegal Garda Division,2010
74.0,Donegal,Sexual offences,Donegal Garda Division,2011
79.0,Donegal,Sexual offences,Donegal Garda Division,2012
77.0,Donegal,Sexual offences,Donegal Garda Division,2013
80.0,Donegal,Sexual offences,Donegal Garda Division,2014
90.0,Donegal,Sexual offences,Donegal Garda Division,2015
109.0,Donegal,Sexual offences,Donegal Garda Division,2016
101.0,Donegal,Sexual offences,Donegal Garda Division,2017
130.0,Donegal,Sexual offences,Donegal Garda Division,2018
228.0,Donegal,Sexual offences,Donegal Garda Division,2019
47.0,Louth,Sexual offences,Louth  Garda Division,2003
38.0,Louth,Sexual offences,Louth  Garda Division,2004
56.0,Louth,Sexual offences,Louth  Garda Division,2005
43.0,Louth,Sexual offences,Louth  Garda Division,2006
47.0,Louth,Sexual offences,Louth  Garda Division,2007
39.0,Louth,Sexual offences,Louth  Garda Division,2008
144.0,Louth,Sexual offences,Louth  Garda Division,2009
71.0,Louth,Sexual offences,Louth  Garda Division,2010
67.0,Louth,Sexual offences,Louth  Garda Division,2011
104.0,Louth,Sexual offences,Louth  Garda Division,2012
56.0,Louth,Sexual offences,Louth  Garda Division,2013
55.0,Louth,Sexual offences,Louth  Garda Division,2014
60.0,Louth,Sexual offences,Louth  Garda Division,2015
80.0,Louth,Sexual offences,Louth  Garda Division,2016
105.0,Louth,Sexual offences,Louth  Garda Division,2017
119.0,Louth,Sexual offences,Louth  Garda Division,2018
192.0,Louth,Sexual offences,Louth  Garda Division,2019
45.0,Clare,Sexual offences,Clare Garda Division,2003
46.0,Clare,Sexual offences,Clare Garda Division,2004
25.0,Clare,Sexual offences,Clare Garda Division,2005
38.0,Clare,Sexual offences,Clare Garda Division,2006
33.0,Clare,Sexual offences,Clare Garda Division,2007
23.0,Clare,Sexual offences,Clare Garda Division,2008
29.0,Clare,Sexual offences,Clare Garda Division,2009
54.0,Clare,Sexual offences,Clare Garda Division,2010
46.0,Clare,Sexual offences,Clare Garda Division,2011
45.0,Clare,Sexual offences,Clare Garda Division,2012
36.0,Clare,Sexual offences,Clare Garda Division,2013
46.0,Clare,Sexual offences,Clare Garda Division,2014
50.0,Clare,Sexual offences,Clare Garda Division,2015
44.0,Clare,Sexual offences,Clare Garda Division,2016
55.0,Clare,Sexual offences,Clare Garda Division,2017
54.0,Clare,Sexual offences,Clare Garda Division,2018
94.0,Clare,Sexual offences,Clare Garda Division,2019
23.0,Mayo,Sexual offences,Mayo Garda Division,2003
38.0,Mayo,Sexual offences,Mayo Garda Division,2004
46.0,Mayo,Sexual offences,Mayo Garda Division,2005
32.0,Mayo,Sexual offences,Mayo Garda Division,2006
26.0,Mayo,Sexual offences,Mayo Garda Division,2007
23.0,Mayo,Sexual offences,Mayo Garda Division,2008
27.0,Mayo,Sexual offences,Mayo Garda Division,2009
51.0,Mayo,Sexual offences,Mayo Garda Division,2010
31.0,Mayo,Sexual offences,Mayo Garda Division,2011
36.0,Mayo,Sexual offences,Mayo Garda Division,2012
45.0,Mayo,Sexual offences,Mayo Garda Division,2013
