count,county,crime,division,year
17.0,Donegal,"Robbery, extortion and hijacking offences",Donegal Garda Division,2003
11.0,Donegal,"Robbery, extortion and hijacking offences",Donegal Garda Division,2004
13.0,Donegal,"Robbery, extortion and hijacking offences",Donegal Garda Division,2005
20.0,Donegal,"Robbery, extortion and hijacking offences",Donegal Garda Division,2006
23.0,Donegal,"Robbery, extortion and hijacking offences",Donegal Garda Division,2007
20.0,Donegal,"Robbery, extortion and hijacking offences",Donegal Garda Division,2008
19.0,Donegal,"Robbery, extortion and hijacking offences",Donegal Garda Division,2009
17.0,Donegal,"Robbery, extortion and hijacking offences",Donegal Garda Division,2010
25.0,Donegal,"Robbery, extortion and hijacking offences",Donegal Garda Division,2011
27.0,Donegal,"Robbery, extortion and hijacking offences",Donegal Garda Division,2012
23.0,Donegal,"Robbery, extortion and hijacking offences",Donegal Garda Division,2013
18.0,Donegal,"Robbery, extortion and hijacking offences",Donegal Garda Division,2014
27.0,Donegal,"Robbery, extortion and hijacking offences",Donegal Garda Division,2015
23.0,Donegal,"Robbery, extortion and hijacking offences",Donegal Garda Division,2016
9.0,Donegal,"Robbery, extortion and hijacking offences",Donegal Garda Division,2017
13.0,Donegal,"Robbery, extortion and hijacking offences",Donegal Garda Division,2018
25.0,Donegal,"Robbery, extortion and hijacking offences",Donegal Garda Division,2019
53.0,Louth,"Robbery, extortion and hijacking offences",Louth  Garda Division,2003
51.0,Louth,"Robbery, extortion and hijacking offences",Louth  Garda Division,2004
33.0,Louth,"Robbery, extortion and hijacking offences",Louth  Garda Division,2005
67.0,Louth,"Robbery, extortion and hijacking offences",Louth  Garda Division,2006
80.0,Louth,"Robbery, extortion and hijacking offences",Louth  Garda Division,2007
61.0,Louth,"Robbery, extortion and hijacking offences",Louth  Garda Division,2008
53.0,Louth,"Robbery, extortion and hijacking offences",Louth  Garda Division,2009
97.0,Louth,"Robbery, extortion and hijacking offences",Louth  Garda Division,2010
63.0,Louth,"Robbery, extortion and hijacking offences",Louth  Garda Division,2011
96.0,Louth,"Robbery, extortion and hijacking offences",Louth  Garda Division,2012
74.0,Louth,"Robbery, extortion and hijacking offences",Louth  Garda Division,2013
65.0,Louth,"Robbery, extortion and hijacking offences",Louth  Garda Division,2014
88.0,Louth,"Robbery, extortion and hijacking offences",Louth  Garda Division,2015
