count,county,crime,division,year
0.0,Donegal,Unseaworthy/dangerous use of boat or ship,Donegal Garda Division,2003
0.0,Donegal,Unseaworthy/dangerous use of boat or ship,Donegal Garda Division,2004
0.0,Donegal,Unseaworthy/dangerous use of boat or ship,Donegal Garda Division,2005
0.0,Donegal,Unseaworthy/dangerous use of boat or ship,Donegal Garda Division,2006
0.0,Donegal,Unseaworthy/dangerous use of boat or ship,Donegal Garda Division,2007
1.0,Donegal,Unseaworthy/dangerous use of boat or ship,Donegal Garda Division,2008
1.0,Donegal,Unseaworthy/dangerous use of boat or ship,Donegal Garda Division,2009
0.0,Donegal,Unseaworthy/dangerous use of boat or ship,Donegal Garda Division,2010
0.0,Donegal,Unseaworthy/dangerous use of boat or ship,Donegal Garda Division,2011
1.0,Donegal,Unseaworthy/dangerous use of boat or ship,Donegal Garda Division,2012
0.0,Donegal,Unseaworthy/dangerous use of boat or ship,Donegal Garda Division,2013
0.0,Donegal,Unseaworthy/dangerous use of boat or ship,Donegal Garda Division,2014
0.0,Donegal,Unseaworthy/dangerous use of boat or ship,Donegal Garda Division,2015
0.0,Donegal,Unseaworthy/dangerous use of boat or ship,Donegal Garda Division,2016
0.0,Donegal,Unseaworthy/dangerous use of boat or ship,Donegal Garda Division,2017
0.0,Donegal,Unseaworthy/dangerous use of boat or ship,Donegal Garda Division,2018
0.0,Donegal,Unseaworthy/dangerous use of boat or ship,Donegal Garda Division,2019
0.0,Louth,Unseaworthy/dangerous use of boat or ship,Louth  Garda Division,2003
0.0,Louth,Unseaworthy/dangerous use of boat or ship,Louth  Garda Division,2004
0.0,Louth,Unseaworthy/dangerous use of boat or ship,Louth  Garda Division,2005
0.0,Louth,Unseaworthy/dangerous use of boat or ship,Louth  Garda Division,2006
0.0,Louth,Unseaworthy/dangerous use of boat or ship,Louth  Garda Division,2007
0.0,Louth,Unseaworthy/dangerous use of boat or ship,Louth  Garda Division,2008
0.0,Louth,Unseaworthy/dangerous use of boat or ship,Louth  Garda Division,2009
0.0,Louth,Unseaworthy/dangerous use of boat or ship,Louth  Garda Division,2010
0.0,Louth,Unseaworthy/dangerous use of boat or ship,Louth  Garda Division,2011
0.0,Louth,Unseaworthy/dangerous use of boat or ship,Louth  Garda Division,2012
0.0,Louth,Unseaworthy/dangerous use of boat or ship,Louth  Garda Division,2013
