count,county,crime,division,year
33.0,Donegal,Weapons and Explosives Offences,Donegal Garda Division,2003
45.0,Donegal,Weapons and Explosives Offences,Donegal Garda Division,2004
45.0,Donegal,Weapons and Explosives Offences,Donegal Garda Division,2005
82.0,Donegal,Weapons and Explosives Offences,Donegal Garda Division,2006
97.0,Donegal,Weapons and Explosives Offences,Donegal Garda Division,2007
103.0,Donegal,Weapons and Explosives Offences,Donegal Garda Division,2008
107.0,Donegal,Weapons and Explosives Offences,Donegal Garda Division,2009
97.0,Donegal,Weapons and Explosives Offences,Donegal Garda Division,2010
55.0,Donegal,Weapons and Explosives Offences,Donegal Garda Division,2011
38.0,Donegal,Weapons and Explosives Offences,Donegal Garda Division,2012
42.0,Donegal,Weapons and Explosives Offences,Donegal Garda Division,2013
42.0,Donegal,Weapons and Explosives Offences,Donegal Garda Division,2014
44.0,Donegal,Weapons and Explosives Offences,Donegal Garda Division,2015
52.0,Donegal,Weapons and Explosives Offences,Donegal Garda Division,2016
36.0,Donegal,Weapons and Explosives Offences,Donegal Garda Division,2017
45.0,Donegal,Weapons and Explosives Offences,Donegal Garda Division,2018
74.0,Donegal,Weapons and Explosives Offences,Donegal Garda Division,2019
51.0,Louth,Weapons and Explosives Offences,Louth  Garda Division,2003
39.0,Louth,Weapons and Explosives Offences,Louth  Garda Division,2004
62.0,Louth,Weapons and Explosives Offences,Louth  Garda Division,2005
80.0,Louth,Weapons and Explosives Offences,Louth  Garda Division,2006
85.0,Louth,Weapons and Explosives Offences,Louth  Garda Division,2007
139.0,Louth,Weapons and Explosives Offences,Louth  Garda Division,2008
111.0,Louth,Weapons and Explosives Offences,Louth  Garda Division,2009
139.0,Louth,Weapons and Explosives Offences,Louth  Garda Division,2010
97.0,Louth,Weapons and Explosives Offences,Louth  Garda Division,2011
83.0,Louth,Weapons and Explosives Offences,Louth  Garda Division,2012
101.0,Louth,Weapons and Explosives Offences,Louth  Garda Division,2013
77.0,Louth,Weapons and Explosives Offences,Louth  Garda Division,2014
67.0,Louth,Weapons and Explosives Offences,Louth  Garda Division,2015
81.0,Louth,Weapons and Explosives Offences,Louth  Garda Division,2016
105.0,Louth,Weapons and Explosives Offences,Louth  Garda Division,2017
103.0,Louth,Weapons and Explosives Offences,Louth  Garda Division,2018
200.0,Louth,Weapons and Explosives Offences,Louth  Garda Division,2019
41.0,Clare,Weapons and Explosives Offences,Clare Garda Division,2003
45.0,Clare,Weapons and Explosives Offences,Clare Garda Division,2004
51.0,Clare,Weapons and Explosives Offences,Clare Garda Division,2005
38.0,Clare,Weapons and Explosives Offences,Clare Garda Division,2006
83.0,Clare,Weapons and Explosives Offences,Clare Garda Division,2007
84.0,Clare,Weapons and Explosives Offences,Clare Garda Division,2008
87.0,Clare,Weapons and Explosives Offences,Clare Garda Division,2009
83.0,Clare,Weapons and Explosives Offences,Clare Garda Division,2010
47.0,Clare,Weapons and Explosives Offences,Clare Garda Division,2011
55.0,Clare,Weapons and Explosives Offences,Clare Garda Division,2012
60.0,Clare,Weapons and Explosives Offences,Clare Garda Division,2013
53.0,Clare,Weapons and Explosives Offences,Clare Garda Division,2014
51.0,Clare,Weapons and Explosives Offences,Clare Garda Division,2015
53.0,Clare,Weapons and Explosives Offences,Clare Garda Division,2016
