ID,County,Year,Overall,Male,Female,EighteenToTwentyFour,TwentyFiveToFourtyFour,FourtyFiveToSixtyFour,SixtyFivePlus
1,Kildare,2014,78,49,29,15,40,15,8
2,Kildare,2015,49,28,21,9,26,9,5
3,Kildare,2016,111,60,51,15,67,25,4
4,Kildare,2017,129,72,57,23,70,30,6
5,Kildare,2018,136,77,59,19,81,34,2
6,Kildare,2019,158,90,68,21,93,39,4
7,Meath,2014,44,28,16,8,23,8,4
8,Meath,2015,27,15,12,5,14,5,3
9,Meath,2016,50,27,23,7,30,11,2
10,Meath,2017,79,44,35,14,43,18,4
11,Meath,2018,86,48,38,12,52,22,1
12,Meath,2019,89,51,38,12,53,22,2
13,Wicklow,2014,22,14,8,4,11,4,2
14,Wicklow,2015,14,8,6,3,7,3,1
15,Wicklow,2016,39,21,18,5,24,9,1
16,Wicklow,2017,35,19,16,6,19,8,2
17,Wicklow,2018,36,20,16,5,22,9,0
18,Wicklow,2019,40,23,17,5,24,10,1
19,Laois,2014,7,4,3,1,3,3,0
20,Laois,2015,8,4,4,1,4,3,0
21,Laois,2016,9,5,4,3,4,2,0
22,Laois,2017,12,6,6,3,7,2,0
23,Laois,2018,16,9,7,3,10,3,0
24,Laois,2019,20,10,10,4,10,6,0
25,Offaly,2014,18,9,9,3,8,7,0
26,Offaly,2015,19,10,9,3,8,8,0
27,Offaly,2016,19,10,9,5,9,4,0
28,Offaly,2017,32,17,15,7,19,5,0
29,Offaly,2018,40,21,19,7,25,7,1
30,Offaly,2019,54,26,28,11,28,15,0
31,Westmeath,2014,13,7,6,2,6,5,0
32,Westmeath,2015,14,8,6,2,6,6,0
33,Westmeath,2016,17,9,8,5,8,3,0
34,Westmeath,2017,19,10,9,4,7,3,0
35,Westmeath,2018,36,19,17,6,22,7,1
36,Westmeath,2019,34,16,18,7,17,10,0
37,Longford,2014,5,3,2,1,2,2,0
38,Longford,2015,6,3,3,1,3,2,0
39,Longford,2016,10,5,5,3,5,2,0
40,Longford,2017,12,6,6,3,7,2,0
41,Longford,2018,9,5,4,1,6,2,0
42,Longford,2019,7,3,4,1,4,2,0
43,Clare,2014,36,25,11,6,18,9,3
44,Clare,2015,40,29,11,6,20,10,3
45,Clare,2016,20,13,7,3,11,5,1
46,Clare,2017,43,16,17,6,27,9,1
47,Clare,2018,70,43,27,10,37,21,1
48,Clare,2019,72,45,27,10,38,22,2
49,"Limerick					",2014,199,137,62,32,99,52,16
50,"Limerick					",2015,218,158,60,35,108,56,18
51,"Limerick					",2016,212,135,77,32,121,54,6
52,"Limerick					",2017,290,174,116,40,179,63,7
53,"Limerick					",2018,302,187,115,44,159,92,6
54,"Limerick					",2019,268,168,100,38,141,83,6
55,Louth,2014,40,34,6,5,16,16,4
56,Louth,2015,28,22,6,3,11,11,3
57,Louth,2016,76,47,29,13,45,15,3
58,Louth,2017,126,14,52,18,76,0,0
59,Louth,2018,120,78,42,16,66,30,8
60,Louth,2019,163,97,66,28,93,31,10
61,Monaghan,2014,1,1,0,0,1,0,0
62,Monaghan,2015,1,1,0,0,1,0,0
63,Monaghan,2016,3,2,1,0,2,1,0
64,Monaghan,2017,1,1,0,0,1,0,0
65,Monaghan,2018,2,1,1,0,1,1,0
66,Monaghan,2019,4,2,2,1,2,1,0
67,Cavan,2014,2,2,0,0,1,1,0
68,Cavan,2015,1,1,0,0,1,0,0
69,Cavan,2016,3,2,1,0,2,1,0
70,Cavan,2017,2,1,1,0,1,1,0
71,Cavan,2018,7,5,2,1,4,2,0
72,Cavan,2019,7,4,3,1,4,2,0
73,Donegal,2014,15,10,5,1,10,4,0
74,Donegal,2015,17,13,4,1,11,5,0
75,Donegal,2016,18,13,5,3,10,6,0
76,Donegal,2017,21,16,5,2,11,8,1
77,Donegal,2018,23,16,8,5,12,6,1
78,Donegal,2019,19,13,6,4,10,4,1
79,Leitrim,2014,0,0,0,0,0,0,0
80,Leitrim,2015,0,0,0,0,0,0,0
81,Leitrim,2016,0,0,0,0,0,0,0
82,Leitrim,2017,0,0,0,0,0,0,0
83,Leitrim,2018,1,1,0,0,1,0,0
84,Leitrim,2019,0,0,0,0,0,0,0
85,Sligo,2014,20,13,7,1,13,6,0
86,Sligo,2015,24,18,6,2,15,7,0
87,Sligo,2016,21,15,6,3,11,7,0
88,Sligo,2017,28,21,7,2,14,10,1
89,Sligo,2018,31,21,10,7,16,8,1
90,Sligo,2019,34,23,11,8,18,7,1
91,Carlow,2014,13,9,4,3,7,11,12
92,Carlow,2015,9,7,2,2,5,7,8
93,Carlow,2016,13,9,4,3,7,3,1
94,Carlow,2017,12,8,4,2,7,3,0
95,Carlow,2018,17,11,6,4,8,5,0
96,Carlow,2019,27,17,10,5,14,7,1
97,Kilkenny,2014,46,33,13,9,26,38,43
98,Kilkenny,2015,34,26,8,7,19,28,32
99,Kilkenny,2016,68,47,21,13,36,16,3
100,Kilkenny,2017,63,43,20,9,36,16,1
101,Kilkenny,2018,57,38,19,12,28,16,1
102,Kilkenny,2019,58,37,21,11,30,16,1
103,Tipperary,2014,36,26,10,7,20,30,33
104,Tipperary,2015,34,26,8,7,19,28,32
105,Tipperary,2016,58,40,18,11,31,14,3
106,Tipperary,2017,74,50,24,11,43,18,3
107,Tipperary,2018,68,45,23,14,33,19,1
108,Tipperary,2019,48,31,17,9,25,13,1
109,Waterford,2014,78,56,22,15,44,65,72
110,Waterford,2015,57,43,14,11,32,47,53
111,Waterford,2016,94,64,30,18,50,22,4
112,Waterford,2017,98,66,32,14,56,24,3
113,Waterford,2018,114,75,39,24,56,31,2
114,Waterford,2019,111,71,40,21,57,30,3
115,Wexford,2014,42,30,12,8,24,35,39
116,Wexford,2015,31,23,8,6,17,26,29
117,Wexford,2016,42,29,13,8,22,10,2
118,Wexford,2017,57,39,18,8,33,14,2
119,Wexford,2018,74,49,25,15,36,21,2
120,Wexford,2019,56,36,20,11,29,15,1
121,Cork,2014,180,127,53,24,101,48,5
122,Cork,2015,172,117,55,25,97,46,5
123,Cork,2016,226,157,69,26,140,54,5
124,Cork,2017,273,184,89,36,166,63,8
125,Cork,2018,331,120,131,44,201,78,8
126,Cork,2019,405,240,165,60,135,94,15
127,Kerry,2014,44,31,13,6,25,12,1
128,Kerry,2015,42,29,13,6,24,11,1
129,Kerry,2016,32,22,10,3,20,8,1
130,Kerry,2017,55,37,18,7,33,13,2
131,Kerry,2018,106,64,42,14,64,25,3
132,Kerry,2019,139,82,57,21,81,32,5
133,Galway,2014,102,78,24,12,46,39,4
134,Galway,2015,82,58,24,10,37,32,4
135,Galway,2016,141,101,40,22,74,44,1
136,Galway,2017,187,117,70,23,113,45,6
137,Galway,2018,252,149,103,32,140,73,7
138,Galway,2019,302,181,121,42,168,82,10
139,Mayo,2014,8,6,2,1,4,3,0
140,Mayo,2015,6,4,2,1,3,2,0
141,Mayo,2016,8,6,2,1,4,2,0
142,Mayo,2017,9,6,3,1,5,2,0
143,Mayo,2018,24,14,10,3,13,7,1
144,Mayo,2019,35,21,14,5,19,9,1
145,Roscommon,2014,3,3,0,0,2,1,0
146,Roscommon,2015,2,1,1,0,1,1,0
147,Roscommon,2016,5,4,1,1,3,1,0
148,Roscommon,2017,6,4,3,1,4,1,0
149,Roscommon,2018,3,2,1,0,2,1,0
150,Roscommon,2019,8,5,3,1,5,2,0
151,Dublin,2014,1643,1032,611,281,1031,315,17
152,Dublin,2015,2219,1268,951,379,1392,425,23
153,Dublin,2016,2887,1564,1323,487,1814,547,39
154,Dublin,2017,3457,1923,1534,520,2191,687,59
155,Dublin,2018,4042,2274,1768,547,2443,974,78
156,Dublin,2019,4329,2457,1872,571,2510,1158,79
