id, County, Year, MeanPrice, SalesValue, SalesVolume,Type
1, Carlow,2010,135798.92,38.5,285,Execution
2, Cavan,2010,122632.58,44.5,363,Execution
3, Clare,2010,130306.92,90.2,706,Execution
4, Cork,2010,173770,524.3,3051,Execution
5, Donegal,2010,108786.58,98.2,908,Execution
6, Dublin,2010,275846.83,2323.1,8456,Execution
7, Galway,2010,171567.17,216.2,1278,Execution
8, Kerry,2010,128519.67,117,918,Execution
9, Kildare,2010,207360.08,258.8,1256,Execution
10, Kilkenny,2010,148553.17,65.2,443,Execution
11, Laois,2010,140429.92,54.7,397,Execution
12, Leitrim,2010,94160.67,18.3,190,Execution
13, Limerick,2010,144156.17,146.7,1012,Execution
14, Longford,2010,103189.08,19.6,188,Execution
15, Louth,2010,149648.92,106,699,Execution
16, Mayo,2010,107417.08,65.4,615,Execution
17, Meath,2010,194311.17,200.9,1037,Execution
18, Monaghan,2010,125765.92,33.6,266,Execution
19, Offaly,2010,121181.83,39.8,338,Execution
20, Roscommon,2010,108539.58,38.8,364,Execution
21, Sligo,2010,129077.67,52.5,406,Execution
22, Tipperary,2010,120783.67,91.6,762,Execution
23, Waterford,2010,142651.75,90.4,639,Execution
24, Westmeath,2010,129223.67,64.3,498,Execution
25, Wexford,2010,145570.92,131.8,914,Execution
26, Wicklow,2010,243226.25,209,864,Execution
27, Carlow,2011,106308.08,25.4,245,Execution
28, Cavan,2011,100309.92,33.8,340,Execution
29, Clare,2011,114661.08,67.7,590,Execution
30, Cork,2011,147136.33,411,2845,Execution
31, Donegal,2011,94650.42,69.9,736,Execution
32, Dublin,2011,248180.58,1828.3,7450,Execution
33, Galway,2011,140723.58,176.3,1262,Execution
34, Kerry,2011,109473.83,92,853,Execution
35, Kildare,2011,180750.17,174.6,988,Execution
36, Kilkenny,2011,123197.33,56.7,468,Execution
37, Laois,2011,104115.58,43.3,426,Execution
38, Leitrim,2011,91611.5,18.8,214,Execution
39, Limerick,2011,126298.33,121,960,Execution
40, Longford,2011,73410.5,14,189,Execution
41, Louth,2011,118319.33,70.8,602,Execution
42, Mayo,2011,100199.17,61.8,618,Execution
43, Meath,2011,156674.5,122.9,797,Execution
44, Monaghan,2011,87047.75,19.1,217,Execution
45, Offaly,2011,98634.75,25.9,271,Execution
46, Roscommon,2011,84026.42,25,301,Execution
47, Sligo,2011,85527.42,28.8,338,Execution
48, Tipperary,2011,112767.33,75,655,Execution
49, Waterford,2011,120817.83,76.2,649,Execution
50, Westmeath,2011,107458.58,49.4,475,Execution
51, Wexford,2011,110511,87.2,804,Execution
52, Wicklow,2011,177449.5,135.9,804,Execution
53, Carlow,2012,81158.5,24,293,Execution
54, Cavan,2012,78735.83,33.1,423,Execution
55, Clare,2012,105399.17,76,735,Execution
56, Cork,2012,134793.67,479.9,3536,Execution
57, Donegal,2012,76464.92,73.7,969,Execution
58, Dublin,2012,240232.58,2522,10494,Execution
59, Galway,2012,122617,188.7,1530,Execution
60, Kerry,2012,103079.42,109.2,1052,Execution
61, Kildare,2012,150299,199.7,1290,Execution
62, Kilkenny,2012,108890.67,63.1,580,Execution
63, Laois,2012,80886,43.7,551,Execution
64, Leitrim,2012,75309.75,18,254,Execution
65, Limerick,2012,113516.08,121,1044,Execution
66, Longford,2012,63062.67,16.1,252,Execution
67, Louth,2012,102695,94.4,898,Execution
68, Mayo,2012,79851.75,60.5,762,Execution
69, Meath,2012,134706.75,136.8,999,Execution
70, Monaghan,2012,73520.25,18.1,239,Execution
71, Offaly,2012,89944.83,34.6,390,Execution
72, Roscommon,2012,68228.92,30.4,444,Execution
73, Sligo,2012,86658.92,41.3,481,Execution
74, Tipperary,2012,84784.17,66,775,Execution
75, Waterford,2012,97035,71.1,736,Execution
76, Westmeath,2012,86598.92,48,550,Execution
77, Wexford,2012,102290.33,115.6,1115,Execution
78, Wicklow,2012,178238.5,180,977,Execution
79, Carlow,2013,93787.58,37.4,412,Execution
80, Cavan,2013,74886.75,40.8,563,Execution
81, Clare,2013,97682.42,75.5,776,Execution
82, Cork,2013,136708.75,531,3821,Execution
83, Donegal,2013,75035.33,68.7,912,Execution
84, Dublin,2013,262509.17,3157.7,11833,Execution
85, Galway,2013,128845,242.3,1850,Execution
86, Kerry,2013,100643.17,110.1,1089,Execution
87, Kildare,2013,169573.67,253.6,1468,Execution
88, Kilkenny,2013,110543.58,59.7,530,Execution
89, Laois,2013,78962.5,39.1,506,Execution
90, Leitrim,2013,71479.92,24.2,349,Execution
91, Limerick,2013,117153.83,121.8,1045,Execution
92, Longford,2013,55811.83,17.2,308,Execution
93, Louth,2013,103708.08,95.9,916,Execution
94, Mayo,2013,83621.92,63.5,743,Execution
95, Meath,2013,144351.33,162.6,1103,Execution
96, Monaghan,2013,73754.5,22,294,Execution
97, Offaly,2013,83944.75,32.8,383,Execution
98, Roscommon,2013,69678.5,38,550,Execution
99, Sligo,2013,90415.08,45.4,496,Execution
100, Tipperary,2013,88509.08,75.6,849,Execution
101, Waterford,2013,96953.58,84.6,868,Execution
102, Westmeath,2013,93327.42,54.9,590,Execution
103, Wexford,2013,100369.33,111.3,1110,Execution
104, Wicklow,2013,209237.17,230.5,1091,Execution
105, Carlow,2014,92304.67,46.5,488,Execution
106, Cavan,2014,71541.08,62.7,890,Execution
107, Clare,2014,97493.92,118.2,1203,Execution
108, Cork,2014,148860.08,803.8,5308,Execution
109, Donegal,2014,79667.58,110,1402,Execution
110, Dublin,2014,301589,5018.9,16459,Execution
111, Galway,2014,140464.75,374.1,2684,Execution
112, Kerry,2014,106995.42,150.1,1402,Execution
113, Kildare,2014,203022.67,418.2,2014,Execution
114, Kilkenny,2014,125741.58,95.6,742,Execution
115, Laois,2014,95158,67.7,704,Execution
116, Leitrim,2014,71387.33,28.3,395,Execution
117, Limerick,2014,104826.67,191.4,1816,Execution
118, Longford,2014,64553.33,30.4,471,Execution
119, Louth,2014,113323.08,151.2,1298,Execution
120, Mayo,2014,85539.75,102.3,1187,Execution
121, Meath,2014,167361.17,300.4,1767,Execution
122, Monaghan,2014,84476,31.5,374,Execution
123, Offaly,2014,103285,57,551,Execution
124, Roscommon,2014,66479.33,40.9,616,Execution
125, Sligo,2014,100822.25,79.5,788,Execution
126, Tipperary,2014,92649.17,102.3,1102,Execution
127, Waterford,2014,108671.58,130.7,1203,Execution
128, Westmeath,2014,95891.67,96.8,1001,Execution
