ID,County,Year,Salaries
1,Leitrim,2000,"14,409"
2,Sligo,2000,"14,627"
3,Cavan,2000,"14,725"
4,Donegal,2000,"13,007"
5,Monaghan,2000,"14,603"
6,Galway,2000,"15,647"
7,Mayo,2000,"15,207"
8,Roscommon,2000,"15,085"
9,Clare,2000,"16,735"
10,Limerick,2000,"17,007"
11,Tipperary,2000,"15,188"
12,Carlow,2000,"15,727"
13,Kilkenny,2000,"14,792"
14,Wexford,2000,"15,183"
15,Waterford,2000,"17,149"
16,Cork,2000,"11,418"
17,Kerry,2000,"14,019"
18,Dublin,2000,"20,823"
19,Kildare,2000,"19,675"
20,Louth,2000,"17,844"
21,Meath,2000,"17,876"
22,Wicklow,2000,"17,359"
23,Laois,2000,"15,454"
24,Longford,2000,"14,873"
25,Offaly,2000,"14,886"
26,Westmeath,2000,"16,784"
27,Leitrim,2001,"15,618"
28,Sligo,2001,"16,376"
29,Cavan,2001,"16,365"
30,Donegal,2001,"14,276"
31,Monaghan,2001,"16,091"
32,Galway,2001,"17,355"
33,Mayo,2001,"16,694"
34,Roscommon,2001,"16,743"
35,Clare,2001,"18,245"
36,Limerick,2001,"19,473"
37,Tipperary,2001,"17,298"
38,Carlow,2001,"17,315"
39,Kilkenny,2001,"16,176"
40,Wexford,2001,"17,073"
41,Waterford,2001,"18,638"
42,Cork,2001,"18,614"
43,Kerry,2001,"15,841"
44,Dublin,2001,"23,539"
45,Kildare,2001,"21,828"
46,Louth,2001,"20,230"
47,Meath,2001,"19,892"
48,Wicklow,2001,"19,688"
49,Laois,2001,"16,924"
50,Longford,2001,"16,580"
51,Offaly,2001,"16,562"
52,Westmeath,2001,"18,830"
53,Leitrim,2002,"17,325"
54,Sligo,2002,"18,462"
55,Cavan,2002,"17,603"
56,Donegal,2002,"15,277"
57,Monaghan,2002,"17,490"
58,Galway,2002,"18,614"
59,Mayo,2002,"17,670"
60,Roscommon,2002,"18,078"
61,Clare,2002,"19,362"
62,Limerick,2002,"19,980"
63,Tipperary,2002,"18,936"
64,Carlow,2002,"17,636"
65,Kilkenny,2002,"17,818"
66,Wexford,2002,"18,064"
67,Waterford,2002,"20,563"
68,Cork,2002,"20,396"
69,Kerry,2002,"16,986"
70,Dublin,2002,"24,579"
71,Kildare,2002,"23,230"
72,Louth,2002,"21,159"
73,Meath,2002,"20,916"
74,Wicklow,2002,"21,751"
75,Laois,2002,"18,568"
76,Longford,2002,"18,539"
77,Offaly,2002,"18,196"
78,Westmeath,2002,"19,896"
