year,rain,gdf,rd,wd,county
1945,94.8,16.5,28,19,Donegal
1946,89.85,14.76,19.7,15.7,Donegal
1947,92.83,20.04,17.67,14,Donegal
1948,84.83,17.46,19.25,14.75,Donegal
1949,100.72,19.32,21.83,17.58,Donegal
1950,117.73,18.92,21.58,18.67,Donegal
1951,96.6,15.34,20.5,15.67,Donegal
1952,84.1,14.83,20.17,15.17,Donegal
1953,81.97,16.71,19.17,13.83,Donegal
1954,113.68,21.17,22.92,17.83,Donegal
1955,79.02,19.04,18.42,13.58,Donegal
1956,90.04,20.08,21.17,16.08,Donegal
1957,91.42,18.66,19.92,15,Donegal
1958,86.59,16.04,19.75,15.5,Donegal
1959,79.83,14.97,17.33,13.92,Donegal
1960,92.58,17.48,21.17,16.25,Donegal
1961,86.2,18.53,18.92,15.25,Donegal
1962,84.18,16.94,17.58,12.92,Donegal
1963,74.34,14.47,18.08,12.83,Donegal
1964,86.52,16.7,19,14.67,Donegal
1965,98.35,21.31,19.33,15.75,Donegal
1966,88.71,16.98,20.5,16.42,Donegal
1967,86.73,15.15,21.5,16.42,Donegal
1968,89.6,19.43,18.4,14.2,Donegal
1969,83.25,15.95,20.25,15.33,Donegal
1970,96.68,19.91,21.83,16,Donegal
1971,79.22,15.74,18.75,13.33,Donegal
1972,85.42,15.28,18.67,14.67,Donegal
1973,86.67,17.22,20.08,14.92,Donegal
1974,93.95,14.02,21.75,16.83,Donegal
1975,76.5,14.34,18.08,12.92,Donegal
1976,77.87,14.11,18.75,14.5,Donegal
1977,84.54,15.61,19.73,16.27,Donegal
1978,97.43,18.88,19.92,15.67,Donegal
1979,100.88,19.42,21.67,17.75,Donegal
1980,99.14,16.41,21.5,17.33,Donegal
1981,104.26,17.16,21.5,16.5,Donegal
1982,95.77,16.2,20.42,16.42,Donegal
1983,89.03,16.45,18.5,14.92,Donegal
1984,86.79,16.13,18.25,14.75,Donegal
1985,94.63,17.88,20.25,15.5,Donegal
1986,107.27,17.02,20.75,17.33,Donegal
1987,75.76,16.2,17.92,13.75,Donegal
1988,99.44,16.83,20.17,16.58,Donegal
1989,88.24,17.51,19.08,15.42,Donegal
1990,107.29,17.23,20.42,17.08,Donegal
1991,92.12,16.88,18.73,14.55,Donegal
1992,107.45,18.34,21.5,17.08,Donegal
1993,97.27,16.91,20.5,15.08,Donegal
1994,99.63,15.05,20.92,16.58,Donegal
1995,103.54,19.99,20.08,16,Donegal
1996,81.33,14.58,18.58,14.42,Donegal
1997,88.73,17.58,18.5,13.92,Donegal
1998,113.54,18.61,22.5,18,Donegal
1999,120.24,22.17,21.67,18.33,Donegal
2000,110.45,19.57,21.5,17.08,Donegal
2001,87.99,17.12,19.92,15.33,Donegal
2002,115.05,20.4,20.67,16.67,Donegal
2003,77.67,13.72,18.58,14.75,Donegal
2004,102.32,20.02,21.17,15.83,Donegal
2005,92.22,17.22,19.83,14.75,Donegal
2006,106.56,18.33,19.83,15.92,Donegal
2007,100.76,21.17,20.83,15.67,Donegal
2008,109.95,17.44,22.17,18.33,Donegal
2009,114.57,17.36,21.83,17.83,Donegal
2010,75.62,15.82,18.42,13.5,Donegal
2011,113.41,21.32,21.75,17.42,Donegal
2012,105.17,20.84,22,16.5,Donegal
2013,93.56,16.52,21,16.42,Donegal
2014,115.09,21.93,22.67,17.25,Donegal
2015,128.84,21.74,20.83,16.83,Donegal
2016,95.64,15.11,20.58,16,Donegal
2017,102.72,19.76,22,16.58,Donegal
2018,84.66,16.09,19.75,14.5,Donegal
2019,88.3,18.93,17.67,14,Donegal
1964,104.97,26.6,19,12,Waterford
1965,111.79,20.86,16.75,14.33,Waterford
1966,120.11,25.04,18.42,14.83,Waterford
1967,102.08,23.15,16.83,13.58,Waterford
1968,112.25,27.86,16.42,14.17,Waterford
1969,78.01,17.84,14.5,11.58,Waterford
1970,90.17,21.87,15.92,13.08,Waterford
1971,81.52,19.03,14.75,12,Waterford
1972,108.8,20.33,16.25,13.83,Waterford
1973,93.07,24.94,16.25,12.17,Waterford
1974,108.34,21.99,16.92,14.33,Waterford
1975,81.48,21.88,14.5,11.2,Waterford
1976,90.68,22.21,14.43,10.71,Waterford
1977,115.51,28.26,15.56,12.33,Waterford
1978,115.55,32.29,14.57,12.71,Waterford
1979,108.17,31.46,15.78,13.89,Waterford
1980,115.12,22.12,17.5,14.58,Waterford
1981,99.04,19.97,14.91,12,Waterford
1982,132.54,32.3,18,15.55,Waterford
1983,97.91,23.65,17.92,14.08,Waterford
1984,107.45,27.12,14.67,12.08,Waterford
1985,112.47,29.9,16.5,13,Waterford
1986,110.57,24.42,17,13.73,Waterford
1987,106.38,29.11,16.33,13.17,Waterford
1988,119.74,27.79,17.67,14.5,Waterford
1989,89.91,18.48,15.92,13.42,Waterford
1990,97.7,24.09,16.25,12.83,Waterford
1991,93.82,22.25,16,12.42,Waterford
1992,89.28,23.46,17.5,13.67,Waterford
1993,127.68,37.62,17.42,12.58,Waterford
1994,135.54,29.48,20.08,15.83,Waterford
1995,112.73,24.87,16,13.5,Waterford
1996,146.34,38.33,15.25,12.58,Waterford
1997,132.28,40.02,16.58,13.08,Waterford
1998,120.99,25.12,19.33,15.25,Waterford
1999,93.21,21.59,17.67,13.58,Waterford
2000,112.99,24.78,18.67,14.58,Waterford
2001,101.73,30.37,16.58,12.92,Waterford
2002,136.85,25.83,18.58,15.5,Waterford
2003,96.26,25.73,14.67,11.83,Waterford
2004,103.97,27.79,14.5,11.92,Waterford
2005,120.39,33.92,15.67,12.17,Waterford
2006,118.28,28.87,16.33,12.83,Waterford
2007,96.36,23.06,16.67,12.75,Waterford
2008,109.37,25.37,16.08,13.33,Waterford
2009,145.91,27.82,18.42,14.58,Waterford
2010,97.36,31.33,12.75,9.5,Waterford
2011,89.31,23.35,17.5,12.92,Waterford
2012,105.82,23.71,18.33,14.17,Waterford
2013,100.45,26.32,14.92,11.58,Waterford
2014,113.22,23.22,17.17,13.42,Waterford
2015,120.83,28.48,16.58,13.5,Waterford
2016,102.11,26.19,14.58,12.08,Waterford
2017,107.12,27.91,17.33,12.92,Waterford
2018,112.82,24.29,16.58,13.5,Waterford
2019,106.85,30.8,17.17,12.67,Waterford
1952,78.1,13.77,16.67,12.33,Louth
1953,51.45,14.46,14.5,10.83,Louth
1954,78.72,18.03,17.25,12.92,Louth
1955,57.1,16.13,13.75,10.25,Louth
1956,64.69,15.31,15.17,10.5,Louth
1957,67.5,16.04,16.08,11.92,Louth
1958,92.6,20.52,18.5,13.75,Louth
1959,61.62,16.51,13.42,10.5,Louth
1960,77.9,19.27,17,12.58,Louth
1961,59.91,14.17,14.58,11.17,Louth
1962,56.87,13.8,15.42,11,Louth
1963,60.07,13.92,16,12.58,Louth
1964,61.24,18.46,15.82,9.82,Louth
1965,70.13,15.81,16.58,11.42,Louth
1966,88.26,20.83,18.25,12.75,Louth
1967,69.93,19.39,17,12,Louth
1968,69.09,19.24,15.42,10.92,Louth
1969,61.68,17.54,13.33,9.5,Louth
1970,62.18,14.47,17.17,11.67,Louth
1971,46.28,14.37,12.55,8.36,Louth
1972,59.05,14.16,14.92,11.33,Louth
1973,53.86,15.5,15.33,10.5,Louth
1974,66.12,16.97,16.33,11.33,Louth
1975,50.03,13.27,14.08,9.42,Louth
1976,64.2,15.86,14.42,10,Louth
1977,66.7,14.49,16.08,12.5,Louth
1978,66.31,13.92,15.83,11.83,Louth
1979,67.98,14.72,16.73,12.73,Louth
1980,66.35,13.73,16.5,12.08,Louth
1981,60.25,12.92,15.17,10.67,Louth
1982,56.23,11.77,15.82,11.73,Louth
1983,45.17,12.89,13.25,8.88,Louth
1984,55.45,14.89,12.9,9.2,Louth
1985,63.86,17.27,16.62,11.12,Louth
1986,15.33,4.1,7.67,4,Louth
1987,52.15,14.5,16.5,11,Louth
1989,55.8,16.45,14.5,12,Louth
1990,59.96,15.13,14.92,10.83,Louth
1991,54.31,14.13,13,9,Louth
1992,54.13,14.41,14.36,10.18,Louth
1993,65.96,18.39,14.67,10.17,Louth
1994,67.3,11.64,16.5,13.25,Louth
1995,65.2,16.19,12.09,9,Louth
1996,62.21,16.07,14.83,11,Louth
1997,62.29,15.08,13.75,9.92,Louth
1998,71.11,13.27,17,12.83,Louth
1999,69.31,17.59,15.73,11.36,Louth
2000,70.02,14,16.75,12.58,Louth
2001,46.91,12.26,14.17,9.25,Louth
2002,91.48,23.13,18.33,13.92,Louth
2003,51.61,12.44,13.83,10.08,Louth
2004,57.23,16.1,14.83,10.42,Louth
2005,52.39,13.63,14.33,11,Louth
2006,72.98,16.19,14.83,11.25,Louth
2007,61.33,11.81,14.75,10.83,Louth
2008,72.39,18.15,15.09,11.73,Louth
2009,70.53,15.85,15.5,12.08,Louth
2010,64.96,18.82,12.42,10.17,Louth
2011,58.68,15.5,15.5,10.58,Louth
2012,71.76,15.03,16.42,12.67,Louth
2013,69.89,17.48,14.75,10.92,Louth
2014,76.37,16.98,16.25,13.33,Louth
2015,76.48,17.41,17.08,12.92,Louth
2016,57.27,14.89,15.75,11.5,Louth
2017,53.67,14.58,16.17,10.67,Louth
2018,58.55,12.55,15.5,10.83,Louth
2019,61.92,16.65,15.17,10,Louth
1944,100.77,20.44,20.89,15.33,Roscommon
